kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI3534,Manajemen Proyek Sistem Informasi,1/16,"Definisi proyek, karakteristik, siklus hidup (initiation, planning, execution, monitoring, closing)","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,2/16,"Perbandingan metodologi tradisional dan Agile; prinsip Agile manifesto; Scrum roles, artifacts, events","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,3/16,"Scope statement, Work Breakdown Structure (WBS), decomposition, Gantt Chart, network diagram","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,4/16,"Critical Path Method (CPM), PERT, estimasi durasi, slack time, milestone","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,5/16,"Metode estimasi (analogous, parametric, bottom-up), cost baseline, S-curve, earned value management dasar","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,6/16,"Identifikasi risiko, analisis kualitatif/kuantitatif, risk response planning, risk register","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,7/16,"Struktur tim proyek, RACI matrix, komunikasi efektif, stakeholder management, meeting management","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,8/16,Materi Minggu 1–7,"P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,9/16,"Product backlog, sprint backlog, user stories, velocity, burndown chart","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3534,Manajemen Proyek Sistem Informasi,10/16,"Pengenalan Jira, Trello, Asana; membuat project board, tracking progress","P1 = Project Management Institute. (2021). A Guide to the Project | P2 = Schwalbe, K. (2018). Information Technology Project Manageme | P3 = Sutherland, J., & Sutherland, J. J. (2019). Scrum: The Art o | P4 = Kerzner, H., & Kerzner, H. R. (2017). Project Management: A  | P5 = Cohn, M. (2010). Succeeding with Agile: Software Development | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
