kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI7854,Tugas Akhir,1/16,"Teknik perumusan masalah, identifikasi gap penelitian, penentuan tujuan dan manfaat","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,2/16,"Teknik pencarian literatur (Google Scholar, Scopus, IEEE), manajemen referensi (Mendeley/Zotero), penyusunan kerangka teori","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,3/16,"Metode penelitian sistem informasi, populasi dan sampel, instrumen pengumpulan data, teknik analisis","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,4/16,"Struktur proposal, penulisan ilmiah, etika penelitian","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,5/16,"Presentasi proposal, tanya jawab, revisi proposal","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,6/16,"Teknik survei, wawancara mendalam, observasi partisipatif, dokumentasi","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,7/16,"Validasi data, triangulasi, penyimpanan data yang aman","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,8/16,"Analisis tematik, grounded theory, statistik deskriptif/inferensial, uji hipotesis","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,9/16,"Interpretasi data, pembahasan, implikasi teoritis dan praktis","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,10/16,"Perancangan sistem, UML, prototype, evaluasi desain","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,11/16,"Coding, pengujian unit, integrasi, deployment","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,12/16,"Penarikan kesimpulan, keterbatasan penelitian, rekomendasi","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,13/16,"Format penulisan, tata letak, cek plagiarisme (Turnitin)","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,14/16,"Pembuatan slide, teknik presentasi, antisipasi pertanyaan penguji","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,15/16,"Presentasi skripsi, tanya jawab, evaluasi penguji","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI7854,Tugas Akhir,16/16,"Revisi laporan, pengesahan, pengumpulan hardcopy, unggah ke portal","P1 = Creswell, J. W. (2014). Research Design: Qualitative, Quanti | P2 = Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee | P3 = Panduan Penulisan Skripsi Program Studi S1 Sistem Informasi  | P4 = Sugiyono. (2019). Metode Penelitian Kuantitatif, Kualitatif, | P5 = Booth, W. C., Colomb, G. G., & Williams, J. M. (2016). The C | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
