kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI3318,Kepemimpinan dan Manajemen Organisasi,1/16,Definisi kepemimpinan vs manajemen; teori sifat; teori perilaku; peran pemimpin dalam organisasi,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,2/16,Teori kontingensi Fiedler; teori situasional Hersey-Blanchard; path-goal theory; transformational leadership,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,3/16,"Gaya otoriter, demokratis, laissez-faire; gaya situasional; gaya kepemimpinan digital","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,4/16,Struktur organisasi; bagan organisasi; sentralisasi vs desentralisasi; rentang kendali,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,5/16,"Budaya organisasi (Handy, Schein); perilaku individu dan kelompok; motivasi; kepuasan kerja","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,6/16,"Tahapan forming, storming, norming, performing; peran tim (Belbin); kolaborasi tim virtual","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,7/16,"Tim proyek agile vs waterfall; peran Scrum Master, Product Owner; komunikasi tim","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,8/16,"Proses pengambilan keputusan; teknik (brainstorming, Delphi, SWOT); keputusan kelompok","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,9/16,"Sumber konflik; strategi (kompetisi, kolaborasi, kompromi, menghindar, akomodasi); teknik negosiasi","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,10/16,Materi Minggu 1–9,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,11/16,Kepemimpinan transformasional vs transaksional; contoh pemimpin transformasional,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,12/16,"Digital leadership: karakteristik, tantangan; peran CIO, CTO; kepemimpinan dalam transformasi digital","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,13/16,Etika kepemimpinan; dilema etis; corporate social responsibility; kepemimpinan berkelanjutan,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,14/16,"Pemilihan studi kasus (perusahaan, startup, organisasi nirlaba); identifikasi isu kepemimpinan/manajemen","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,15/16,Struktur laporan; analisis gaya kepemimpinan; evaluasi budaya organisasi; rekomendasi perbaikan,"P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3318,Kepemimpinan dan Manajemen Organisasi,16/16,"Presentasi hasil analisis, rekomendasi perbaikan kepemimpinan dan manajemen organisasi","P1 = Northouse, P. G. (2021). Leadership: Theory and practice (9t | P2 = Robbins, S. P., & Judge, T. A. (2019). Organizational behavi | P3 = Daft, R. L. (2015). The leadership experience (6th ed.). Cen | P4 = Goleman, D. (2011). Leadership: The power of emotional intel | P5 = Kotter, J. P. (2012). Leading change. Harvard Business Revie | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3319,Jaringan Komputer,1/16,"Definisi jaringan; topologi; perangkat (switch, router, access point); media transmisi","P1 = Kurose, J. F., & Ross, K. W. (2017). Computer networking: A  | P2 = Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer networ | P3 = Odom, W. (2016). CCNA Routing and Switching ICND1 100-105 Of | P4 = Cisco Networking Academy. (2020). Introduction to Networks v | P5 = Comer, D. E. (2015). Computer networks and internets (6th ed | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3319,Jaringan Komputer,2/16,Arsitektur client-server dan peer-to-peer; jaringan hybrid; contoh implementasi,"P1 = Kurose, J. F., & Ross, K. W. (2017). Computer networking: A  | P2 = Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer networ | P3 = Odom, W. (2016). CCNA Routing and Switching ICND1 100-105 Of | P4 = Cisco Networking Academy. (2020). Introduction to Networks v | P5 = Comer, D. E. (2015). Computer networks and internets (6th ed | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3319,Jaringan Komputer,3/16,"Model OSI: physical, data link, network, transport, session, presentation, application","P1 = Kurose, J. F., & Ross, K. W. (2017). Computer networking: A  | P2 = Tanenbaum, A. S., & Wetherall, D. J. (2011). Computer networ | P3 = Odom, W. (2016). CCNA Routing and Switching ICND1 100-105 Of | P4 = Cisco Networking Academy. (2020). Introduction to Networks v | P5 = Comer, D. E. (2015). Computer networks and internets (6th ed | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
