kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1433,Sistem Informasi Kesehatan,1/16,"Definisi SI Kesehatan; komponen (data, informasi, teknologi, manusia, proses); peran SI dalam peningkatan mutu layanan","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,2/16,"Ekosistem kesehatan Indonesia: FKTP, rujukan, JKN, BPJS, peran Dinas Kesehatan dan Kemenkes","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,3/16,"ICD-10 (klasifikasi penyakit), ICD-9-CM (tindakan medis); struktur kode, contoh penggunaan untuk klaim BPJS","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,4/16,"HL7 (standar pertukaran), FHIR (API), Rekam Medis Elektronik (definisi, komponen, manfaat, tantangan)","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,5/16,"SIMRS: definisi, tujuan, arsitektur (client-server, web-based, cloud); modul fungsional; alur data","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,6/16,"Integrasi dengan BPJS (VClaim, INA-CBG), LIS, sistem farmasi, e-Puskesmas; mekanisme API, HL7, ETL","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,7/16,"e-Puskesmas: modul (data kunjungan, kohort, obat, surveilans, PIS-PK); pelaporan ke Dinas Kesehatan","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,8/16,Materi Minggu 1–7,"P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,9/16,"Manajemen data pasien; privasi dan kerahasiaan; UU Kesehatan No. 17/2023 (rahasia medis), UU PDP (hak pasien)","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1433,Sistem Informasi Kesehatan,10/16,"Telemedicine: definisi, jenis, platform (Halodoc, Alodokter); e-Health: SISRUTE, aplikasi kesehatan masyarakat","P1 = Tan, J. (2020). Healthcare information systems and informati | P2 = Wager, K. A., Lee, F. W., & Glaser, J. P. (2021). Health car | P3 = Kementerian Kesehatan RI. (2023). Pedoman Sistem Informasi R | P4 = Undang-Undang Republik Indonesia Nomor 17 Tahun 2023 tentang | P5 = Undang-Undang Republik Indonesia Nomor 27 Tahun 2022 tentang | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
