kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI3748,Proyek Sistem Informasi,1/16,"Pembentukan tim, pemilihan studi kasus, penyusunan project charter, WBS, Gantt chart","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,2/16,"Teknik elicitation, use case diagram, user story, requirement prioritization","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,3/16,"UML modeling, arsitektur sistem, component diagram, deployment diagram","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,4/16,"Normalisasi, database design, prototyping UI/UX (Figma/Adobe XD)","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,5/16,"Coding sesuai desain, version control (Git), daily scrum","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,6/16,"Integrasi modul, pengelolaan konfigurasi, code review","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,7/16,"Penyelesaian bug, optimasi kinerja, persiapan pengujian","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,8/16,Materi minggu 1-7,"P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,9/16,"Unit testing, integration testing, system testing, UAT, bug tracking","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,10/16,"Scrum roles, sprint planning, daily standup, retrospective, kolaborasi dengan GitHub Projects/Trello","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3748,Proyek Sistem Informasi,11/16,"CI/CD pipeline, deployment (cloud/server), environment staging vs production","P1 = Pressman, R. S. (2014). Software Engineering: A Practitioner | P2 = Sommerville, I. (2015). Software Engineering (10th ed.). Pea | P3 = Schwalbe, K. (2018). Information Technology Project Manageme | P4 = Martin, R. C. (2008). Clean Code: A Handbook of Agile Softwa | P5 = Sutherland, J. (2014). Scrum: The Art of Doing Twice the Wor | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
