kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1210,Kewarganegaraan,1/16,"Pengertian, landasan hukum, tujuan pendidikan kewarganegaraan di PT, hubungan dengan profil lulusan","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,2/16,"Identitas nasional (bahasa, budaya, sejarah, simbol negara), integrasi nasional, tantangan disintegrasi","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,3/16,"Sejarah konstitusi (UUD 1945, RIS, UUDS 1950, kembali ke UUD 1945, amandemen), isi UUD NRI 1945","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,4/16,"MPR, DPR, DPD, Presiden, MA, MK, BPK; pembagian kekuasaan eksekutif, legislatif, yudikatif","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,5/16,"Hak warga negara (pasal 27-34), kewajiban (membayar pajak, bela negara, menghormati hukum)","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,6/16,"Demokrasi Pancasila (kerakyatan, musyawarah), negara hukum (rechtstaat), supremasi hukum","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,7/16,"Wawasan nusantara sebagai cara pandang, asas (kepulauan, archipelago), implementasi","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,8/16,Materi Minggu 1-7,"P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,9/16,"Ketahanan nasional (astagatra), bela negara (fisik dan nonfisik), peran mahasiswa","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,10/16,"Definisi korupsi (UU 31/1999), jenis (suap, gratifikasi, penggelapan), dampak ekonomi dan sosial","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1210,Kewarganegaraan,11/16,"9 nilai anti korupsi (jujur, adil, berani, tanggung jawab, sederhana, mandiri, disiplin, kerja keras, peduli)","P1 = Kaelan, M.S. (2016). Pendidikan Kewarganegaraan untuk Pergur | P2 = Winarno, S.H. (2019). Paradigma Baru Pendidikan Kewarganegar | P3 = Tim Dosen PKn Universitas Indonesia. (2015). Pendidikan Kewa | P4 = Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (Am | P5 = Komisi Pemberantasan Korupsi. (2019). Modul Pendidikan Anti  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
